,Rating,MRP,Processor,RAM,OS,Storage,Brand,OS_arch,RAM_Type
387,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4
388,4.4,56990.0,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 10,['512 GB SSD'],HP,64,DDR4
389,4.4,104990.0,AMD Ryzen 9 Octa Core Processor,16 GB,Windows 11,['512 GB SSD'],ASUS,64,DDR4
390,3.9,42590.0,Intel Core i3 Processor,8 GB,Windows 11,['512 GB SSD'],ASUS,64,DDR4
391,4.2,58400.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
392,4.7,66990.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 10,['512 GB SSD'],DELL,64,DDR4
393,4.2,106199.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,DDR5
394,4.2,58590.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],DELL,64,DDR4
395,4.3,53990.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
396,4.0,118990.0,Intel Core i7 Processor,16 GB,Windows 11,['512 GB SSD'],Lenovo,64,DDR4
397,4.5,102490.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],DELL,64,DDR5
398,4.2,98990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 10,['512 GB SSD'],Lenovo,64,DDR4
399,4.2,60990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
400,4.2,57990.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],acer,64,DDR4
401,4.4,89890.0,Intel Core i5 Processor,16 GB,Windows 10,['512 GB SSD'],DELL,64,DDR4
402,4.8,219894.0,Intel Core i5 Processor,16 GB,Windows 11,['1 TB SSD'],APPLE,64,Unified Memory
403,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4X
404,4.8,85990.0,Intel Core i5 Processor,8 GB,Windows 11,['1 TB SSD'],ASUS,64,DDR4
405,3.7,129490.0,Intel Core i7 Processor,16 GB,Windows 11,['1 TB SSD'],MSI,64,DDR4
406,4.2,65990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],MSI,64,DDR4
407,3.9,62990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
408,4.6,112990.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],APPLE,64,DDR4
409,4.2,191990.0,Intel Core i9 Processor,16 GB,Windows 11,['1 TB SSD'],ASUS,64,LPDDR5
410,4.5,35990.0,Intel Core i3 Processor,8 GB,Windows 11,['256 GB SSD'],Lenovo,64,DDR4
411,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4
412,4.2,246490.0,Intel Core i7 Processor,32 GB,Windows 11,['1 TB SSD'],DELL,64,DDR5
413,4.3,139990.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],APPLE,64,Unified Memory
414,4.2,43990.0,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
415,3.8,19100.0,Intel Core i5 Processor,4 GB,Chrome,['512 GB SSD'],HP,32,DDR4
416,3.6,133499.0,AMD Ryzen 9 Octa Core Processor,16 GB,Windows 10,['1 TB SSD'],HP,64,DDR4
417,4.2,59890.0,Intel Core i5 Processor,8 GB,Windows 11,"['1 TB HDD', '256 GB SSD']",DELL,64,DDR4
