,Rating,MRP,Processor,RAM,OS,Storage,OS_arch,RAM_Type,cluster
550,4.5,72990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,0
551,4.2,33639.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
552,4.2,47990.0,AMD Ryzen 3 Quad Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,LPDDR5,5
553,4.2,44490.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
554,4.2,56990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
555,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
556,4.5,96990.0,Intel Core i7 Processor,16 GB,Windows 10,"('1 TB HDD', '256 GB SSD')",64,DDR4,0
557,4.2,75476.0,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
558,4.2,39990.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
559,4.2,58400.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
560,4.2,62990.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,5
561,4.6,72490.0,Intel Core i5 Processor,8 GB,Windows 10,"('512 GB SSD',)",64,DDR4,5
562,4.2,79990.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR5,5
563,4.3,53990.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
564,4.2,95990.0,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
565,4.1,84990.0,Intel Core i7 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
566,4.1,25990.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
567,4.3,36158.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
568,4.2,109990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,LPDDR5,7
569,4.0,44490.0,Intel Core i3 Processor,4 GB,Windows 10,"('256 GB SSD',)",64,DDR4,1
570,4.2,192990.0,Intel Core i7 Processor,32 GB,Windows 11,"('1 TB SSD',)",64,DDR4,2
571,4.2,60990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
572,4.2,51890.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
573,4.2,32990.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,5
574,4.2,116640.0,Intel Core i5 Processor,16 GB,Windows 10,"('128 GB SSD', '1 TB HDD', '128 GB SSD')",64,DDR4,7
575,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,6
576,4.2,89990.0,AMD Ryzen 7 Hexa Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR5,5
577,4.2,147990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,"('1 TB SSD',)",64,LPDDR5,2
578,4.2,59990.0,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,LPDDR5,5
579,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
580,4.2,79990.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
581,3.8,103490.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
582,4.3,32990.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,5
583,3.8,19100.0,Intel Core i5 Processor,4 GB,Chrome,"('512 GB SSD',)",32,DDR4,6
584,4.8,69490.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
585,4.0,75990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
586,4.2,234990.0,Intel Core i7 Processor,32 GB,Windows 10,"('1 TB SSD',)",64,DDR4,4
587,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,6
588,4.0,20990.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
589,4.5,61990.0,AMD Ryzen 5 Dual Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
590,4.3,44490.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
591,4.3,36158.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
592,4.6,63990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,0
593,4.3,62990.0,Intel Core i5 Processor,8 GB,Windows 10,"('512 GB SSD',)",64,DDR4,5
594,4.2,73890.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
595,4.2,33639.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
596,4.0,130990.0,Intel Core i7 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,2
597,4.2,84990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,7
598,4.2,45399.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
599,4.2,65990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
600,4.2,61290.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
601,4.2,59990.0,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,LPDDR5,5
602,4.2,52990.0,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,LPDDR5,5
603,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4,3
604,4.2,34000.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
605,4.5,129999.0,Intel Core i5 Processor,8 GB,Windows 10,"('128 GB SSD', '1 TB HDD', '128 GB SSD')",64,DDR4,5
606,4.3,42490.0,Intel Core i3 Processor,8 GB,Windows 10,"('512 GB SSD',)",64,DDR4,5
607,3.8,19100.0,Intel Core i5 Processor,4 GB,Chrome,"('512 GB SSD',)",32,DDR4,6
608,4.4,42690.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
609,4.2,71857.0,Intel Core i5 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
610,4.2,166399.0,Intel Core i7 Processor,16 GB,Windows 11,"('1 TB SSD',)",64,DDR5,2
611,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,6
612,4.2,87490.0,Intel Core i5 Processor,8 GB,Windows 10,"('1 TB HDD', '128 GB SSD')",64,DDR4,5
