,Rating,MRP,Processor,RAM,OS,Storage,Brand
160,2.8,44490.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,DELL
161,,78990.0,AMD Ryzen 7 Octa Core Processor,16 GB LPDDR5 RAM,,1 TB SSD,HP
162,4.4,44990.0,Intel Core i3 Processor,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD,ASUS
163,4.2,33639.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,Lenovo
164,,92990.0,Intel Core i5 Processor,16 GB LPDDR5 RAM,,512 GB SSD,ASUS
165,3.9,114990.0,Intel Core i7 Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,ASUS
166,4.0,54990.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD256 GB SSD,Lenovo
167,,50990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,,512 GB SSD,MSI
168,,49990.0,Intel Core i3 Processor,8 GB DDR4 RAM,,512 GB SSD,MSI
169,4.1,32000.0,,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,DELL
170,3.9,114990.0,Intel Core i7 Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,ASUS
171,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,,,HP
172,4.5,113990.0,,16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,MSI
173,4.0,54990.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD256 GB SSD,Lenovo
174,,38990.0,Intel Core i3 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,ASUS
175,4.2,58400.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
176,,92990.0,Intel Core i5 Processor,16 GB LPDDR5 RAM,,512 GB SSD,ASUS
177,3.9,30300.0,Intel Pentium Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,HP
178,,29990.0,Intel Core i3 Processor,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,256 GB SSD,Infinix
179,4.3,53990.0,Intel Core i5 Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,HP
180,,129990.0,Intel Core i7 Processor,16 GB LPDDR5 RAM,,1 TB SSD,MSI
181,4.4,87099.0,,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,DELL
182,,45990.0,Intel Core i5 Processor,8 GB DDR4 RAM,,512 GB SSD,MSI
